sample_name,dataset,SUPER,SUB
HG03163,GnomAD,AFR,ESN
HG03166,GnomAD,AFR,ESN
HG03168,GnomAD,AFR,ESN
HG03169,GnomAD,AFR,ESN
HG03172,GnomAD,AFR,ESN
HG03175,GnomAD,AFR,ESN
HG03189,GnomAD,AFR,ESN
HG03190,GnomAD,AFR,ESN
HG03193,GnomAD,AFR,ESN
HG03195,GnomAD,AFR,ESN
HG03196,GnomAD,AFR,ESN
HG03198,GnomAD,AFR,ESN
HG03199,GnomAD,AFR,ESN
HG03202,GnomAD,AFR,ESN
HG03209,GnomAD,AFR,MSL
HG03212,GnomAD,AFR,MSL
HG03224,GnomAD,AFR,MSL
HG03225,GnomAD,AFR,MSL
HG03240,GnomAD,AFR,GWD
HG03241,GnomAD,AFR,GWD
HG03246,GnomAD,AFR,GWD
HG03247,GnomAD,AFR,GWD
HG03249,GnomAD,AFR,GWD
HG03258,GnomAD,AFR,GWD
HG03259,GnomAD,AFR,GWD
HG03265,GnomAD,AFR,ESN
HG03267,GnomAD,AFR,ESN
HG03268,GnomAD,AFR,ESN
HG03270,GnomAD,AFR,ESN
HG03271,GnomAD,AFR,ESN
HG03279,GnomAD,AFR,ESN
HG03280,GnomAD,AFR,ESN
HG03291,GnomAD,AFR,ESN
HG03294,GnomAD,AFR,ESN
HG03295,GnomAD,AFR,ESN
HG03297,GnomAD,AFR,ESN
HG03298,GnomAD,AFR,ESN
HG03302,GnomAD,AFR,ESN
HG03303,GnomAD,AFR,ESN
HG03304,GnomAD,AFR,ESN
HG03306,GnomAD,AFR,ESN
HG03307,GnomAD,AFR,ESN
HG03309,GnomAD,AFR,ESN
HG03311,GnomAD,AFR,ESN
HG03312,GnomAD,AFR,ESN
HG03313,GnomAD,AFR,ESN
HG03342,GnomAD,AFR,ESN
HG03343,GnomAD,AFR,ESN
HG03350,GnomAD,AFR,ESN
HG03354,GnomAD,AFR,ESN
HG03363,GnomAD,AFR,ESN
HG03366,GnomAD,AFR,ESN
HG03367,GnomAD,AFR,ESN
HG03369,GnomAD,AFR,ESN
HG03370,GnomAD,AFR,ESN
HG03372,GnomAD,AFR,ESN
HG03373,GnomAD,AFR,ESN
HG03376,GnomAD,AFR,MSL
HG03378,GnomAD,AFR,MSL
